age,income,years_as_fan,number_of_games_attended,team_performance_rating,engagement_with_team,loyalty
56,30287,22,32,7.495493974,2,1
46,59387,20,17,3.443923427,1,0
32,33512,28,48,4.622019737,0,0
60,26342,25,27,1.924734272,1,0
25,88076,11,46,2.701355723,2,0
38,44216,5,10,8.047149736,2,0
56,118070,15,44,7.43534847,0,0
36,104767,5,32,6.341371867,1,0
40,51614,12,16,9.061540533,1,1
28,61258,5,5,6.24939866,1,0
28,118789,17,3,5.202712,0,0
41,67078,17,19,4.063336717,1,0
53,108524,24,47,9.464036552,2,1
57,37219,12,46,1.744439154,1,0
41,25235,24,26,9.377986349,0,0
20,67929,28,14,8.440431939,1,1
39,92444,15,5,2.169369321,1,0
19,33567,15,46,6.084859219,2,1
41,95792,6,13,8.798931836,1,1
61,90441,12,10,6.146282472,2,1
47,109555,27,38,9.164798394,2,1
55,98698,29,8,9.486854351,0,0
19,30415,20,25,4.8014607,2,0
38,61159,18,15,4.395822953,2,0
50,68925,14,4,9.426890386,0,0
29,30951,2,9,7.07626055,2,0
39,112388,9,49,2.044204132,0,0
61,33007,5,2,1.380625743,1,0
42,66832,20,12,6.081661459,0,0
44,83596,26,42,9.371538689,2,1
59,55523,29,48,8.598238322,0,0
45,113861,1,29,7.082629718,2,0
33,111740,23,44,2.25204264,1,0
32,40524,3,5,3.288082454,0,0
64,44282,6,16,8.879601039,1,1
61,48930,5,44,2.64526513,2,0
20,25077,21,18,3.505954674,2,0
54,45611,27,41,2.166405861,1,0
24,41984,5,34,7.084974083,0,0
38,39060,1,45,9.495840748,0,0
26,107985,17,25,3.420712284,2,0
56,109056,19,4,5.278659471,1,0
35,68303,14,28,6.709057657,1,1
21,84207,12,36,9.995196234,0,0
42,100046,10,19,1.943272585,0,0
31,54287,20,48,5.487137196,0,0
26,118709,21,20,4.466081079,1,0
43,64711,18,9,8.792381487,0,0
19,36954,24,4,5.283709579,0,0
37,98340,27,35,1.998797721,2,0
45,97101,11,5,6.709817308,0,0
64,96520,2,25,7.937025564,0,0
24,112062,25,3,1.025931265,1,0
61,43574,18,38,8.730610169,1,1
25,34184,29,38,2.674207,2,0
64,44096,25,49,5.968624282,0,0
52,92728,7,34,4.742177506,2,0
31,59016,24,0,7.476884349,1,0
34,36246,15,23,4.340454533,2,0
53,70558,11,35,8.82786859,1,1
57,43381,18,5,7.574467249,2,0
21,61455,23,40,6.82941854,2,1
19,117263,12,45,8.16616536,0,0
23,29018,6,43,7.786207314,2,1
59,36302,20,30,1.323448074,0,0
21,92506,23,19,4.552609185,0,0
46,66157,13,23,9.377265676,0,0
35,79917,20,24,2.131518421,0,0
43,117738,16,35,7.633868954,2,1
61,108122,18,20,9.771326302,1,1
51,49519,10,29,1.469787661,1,0
27,112487,28,23,7.139744926,1,1
53,81819,23,43,5.213387272,2,1
31,105910,8,41,6.212577298,0,0
48,96324,18,29,1.768072028,1,0
32,30408,21,21,1.387062567,2,0
25,84379,1,27,7.001799945,0,0
31,50053,23,6,8.409784868,1,1
40,34446,8,34,8.038138014,0,0
57,25922,29,27,5.894251551,1,1
38,76356,6,13,1.89880139,1,0
33,35789,5,9,7.192399995,1,0
62,91656,15,15,3.176999952,0,0
35,69028,22,15,9.199618325,2,1
64,89484,15,30,8.544388236,0,0
41,57154,2,41,7.384446704,1,0
43,107870,1,24,9.539613602,0,0
42,27336,23,12,1.282796394,2,0
62,92779,23,5,7.625803826,0,0
58,44029,26,43,3.972185014,2,0
46,84201,11,8,9.154592971,2,1
32,57265,10,44,3.40007677,0,0
62,68872,18,35,7.523708494,1,1
